,Organization Name,Financial Institution Type,Native CDFI (Y/N),City,State,Zipcode,Address1,Organization Website,address_for_url,tract,Sub Boro Name,Tract
0,AAFE Community Development Fund,Loan Fund,N,New York,NY,10002--530,"2 Allen Street, 7th Floor",http://aafecdf.org/,"2 Allen Street, 7th Floor, New York, NY, 10002--530","('001800', 'Manhattan')",Lower East Side / Chinatown,1800
1,"Accompany Capital, Inc.",Loan Fund,N,New York,NY,10271--309,"120 Broadway, Suite 230",www.nybcna.org,"120 Broadway, Suite 230, New York, NY, 10271--309","('000700', 'Manhattan')",Greenwich Village / Financial District,700
2,Ascendus Inc.,Loan Fund,N,New York,NY,10038--481,80 Maiden Lane  Suite 903,us.accion.org/east,"80 Maiden Lane  Suite 903, New York, NY, 10038--481","('000700', 'Manhattan')",Greenwich Village / Financial District,700
3,BOC Capital Corp.,Loan Fund,N,Brooklyn,NY,11217--160,"85 South Oxford, 2nd floor",www.boccapital.org,"85 South Oxford, 2nd floor, Brooklyn, NY, 11217--160","('018100', 'Brooklyn')",Brooklyn Heights / Fort Greene,18100
4,"Brooklyn Alliance Capital, Inc.",Loan Fund,N,Brooklyn,NY,11201--373,"335 Adams Street, Suite 2700",www.ibrooklyn.com,"335 Adams Street, Suite 2700, Brooklyn, NY, 11201--373","('001100', 'Brooklyn')",Brooklyn Heights / Fort Greene,1100
5,Brooklyn Cooperative Federal Credit Union,Credit Union,N,Brooklyn,NY,11237--512,1474 Myrtle Avenue,www.brooklyn.coop,"1474 Myrtle Avenue, Brooklyn, NY, 11237--512","('043300', 'Brooklyn')",Bushwick,43300
6,Business Resource and Investment Service Center Inc.,Loan Fund,N,New York,NY,10027--451,"55 West 125th St, 11th Floor",Non given,"55 West 125th St, 11th Floor, New York, NY, 10027--451","('020000', 'Manhattan')",Central Harlem,20000
7,CAMBA Economic Development Corporation,Loan Fund,N,Brooklyn,NY,11226--267,1720 Church Avenue,www.camba.org,"1720 Church Avenue, Brooklyn, NY, 11226--267","('051200', 'Brooklyn')",Flatbush,51200
8,Carver Federal Savings Bank,Bank or Thrift,N,New York,NY,10035,1825 Park Avenue,http://carverbank.com,"1825 Park Avenue, New York, NY, 10035","('019600', 'Manhattan')",East Harlem,19600
9,CheckSpring Community Corporation,Bank Holding Company,N,Bronx,NY,10452--820,69 E 167th Street,http://www.springbankny.com,"69 E 167th Street, Bronx, NY, 10452--820","('019900', 'Bronx')",Highbridge / S. Concourse,19900
10,"Community Development Trust, LP, The",Loan Fund,N,New York,NY,10018--770,1350 Broadway  Suite 700,www.cdt.biz,"1350 Broadway  Suite 700, New York, NY, 10018--770","('010900', 'Manhattan')",Chelsea / Clinton / Midtown,10900
11,"Community Development Venture Capital Alliance, The",Venture Capital,N,New York,NY,10115--005,"475 Riverside Dr., Suite 1264",www.cdvca.org,"475 Riverside Dr., Suite 1264, New York, NY, 10115--005","('020500', 'Manhattan')",Morningside Heights / Hamilton Heights,20500
