,ADDRESS,BKCLASS,CBSA,CBSA_DIV,CBSA_DIV_FLG,CBSA_DIV_NO,CBSA_METRO,CBSA_METRO_FLG,CBSA_METRO_NAME,CBSA_MICRO_FLG,CBSA_NO,CERT,CITY,COUNTY,CSA,CSA_FLG,CSA_NO,ESTYMD,FI_UNINUM,MAINOFF,NAME,OFFNAME,OFFNUM,RUNDATE,SERVTYPE,STALP,STCNTY,STNAME,UNINUM,ZIP,formatted_address,tract,Sub Boro Name,Tract
11,6103 Springfield Blvd,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,628,Oakland Gardens,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,09/25/2008,417,0,"JPMorgan Chase Bank, National Association",Oakland Gardens Branch,6953,11/25/2022,11,NY,36081,New York,494566,11364,"6103 Springfield Blvd, Oakland Gardens, NY, 11364","('-1', '-1')",UNFOUND,-1
76,14-15 College Point Boulevard,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,3510,College Point,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/13/1957,2238,0,"Bank of America, National Association",COLLEGE POINT BRANCH,8057,11/25/2022,11,NY,36081,New York,213626,11356,"14-15 College Point Boulevard, College Point, NY, 11356","('092900', 'Queens')",Flushing / Whitestone,92900
80,103-48 Lefferts Boulevard,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,628,South Richmond Hill,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,12/08/1934,417,0,"JPMorgan Chase Bank, National Association",LEFFERTS BOULEVARD BRANCH,3842,11/25/2022,11,NY,36081,New York,214024,11419,"103-48 Lefferts Boulevard, South Richmond Hill, NY, 11419","('010600', 'Queens')",Howard Beach / S. Ozone Park,10600
82,5671 Riverdale Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,7213,Bronx,Bronx,"New York-Newark, NY-NJ-CT-PA",1,408.0,12/18/1963,4759,0,"Citibank, National Association",RIVERDALE BRANCH,48,11/25/2022,11,NY,36005,New York,214072,10471,"5671 Riverdale Avenue, Bronx, NY, 10471","('032300', 'Bronx')",Riverdale / Kingsbridge,32300
83,430 Myrtle Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,7213,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/16/1812,4759,0,"Citibank, National Association",CLINTON AVENUE BRANCH,57,11/25/2022,11,NY,36047,New York,214081,11205,"430 Myrtle Avenue, Brooklyn, NY, 11205","('019500', 'Brooklyn')",Brooklyn Heights / Fort Greene,19500
84,1501 Kings Hwy At East 15th Street,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,7213,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/16/1812,4759,0,"Citibank, National Association",KINGS HIGHWAY BRANCH,66,11/25/2022,11,NY,36047,New York,214090,11229,"1501 Kings Hwy At East 15th Street, Brooklyn, NY, 11229","('055200', 'Brooklyn')",Sheepshead Bay / Gravesend,55200
85,717 Avenue Of The Americas,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,7213,New York City,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/16/1812,4759,0,"Citibank, National Association",AVE. OF THE AMERICAS-23RD ST. BRANCH,79,11/25/2022,11,NY,36061,New York,214103,10010,"717 Avenue Of The Americas, New York City, NY, 10010","('009100', 'Manhattan')",Chelsea / Clinton / Midtown,9100
86,388 Greenwich Street,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,7213,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,01/01/1900,4759,0,"Citibank, National Association",Hudson Street Branch,99,11/25/2022,11,NY,36061,New York,214122,10013,"388 Greenwich Street, New York, NY, 10013","('003900', 'Manhattan')",Greenwich Village / Financial District,3900
188,174 Montague Street,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,57957,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,12/01/1965,432614,0,"Citizens Bank, National Association",MONTAGUE STREET BRANCH,1742,11/25/2022,11,NY,36047,New York,220077,11201,"174 Montague Street, Brooklyn, NY, 11201","('000900', 'Brooklyn')",Brooklyn Heights / Fort Greene,900
444,370 East 149th Street,SI,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,16068,New York City,Bronx,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/23/1890,10290,0,Apple Bank for Savings,149TH STREET BRANCH,89,11/25/2022,11,NY,36005,New York,235736,10455,"370 East 149th Street, New York City, NY, 10455","('006500', 'Bronx')",Mott Haven / Hunts Point,6500
