Organization Name,Financial Institution Type,Native CDFI (Y/N),City,State,Zipcode,Address1,Organization Website
AAFE Community Development Fund,Loan Fund,N,New York,NY,10002--530,"2 Allen Street, 7th Floor",http://aafecdf.org/
"Accompany Capital, Inc.",Loan Fund,N,New York,NY,10271--309,"120 Broadway, Suite 230",www.nybcna.org
Ascendus Inc.,Loan Fund,N,New York,NY,10038--481,80 Maiden Lane  Suite 903,us.accion.org/east
BOC Capital Corp.,Loan Fund,N,Brooklyn,NY,11217--160,"85 South Oxford, 2nd floor",www.boccapital.org
"Brooklyn Alliance Capital, Inc.",Loan Fund,N,Brooklyn,NY,11201--373,"335 Adams Street, Suite 2700",www.ibrooklyn.com
Brooklyn Cooperative Federal Credit Union,Credit Union,N,Brooklyn,NY,11237--512,1474 Myrtle Avenue,www.brooklyn.coop
Business Resource and Investment Service Center Inc.,Loan Fund,N,New York,NY,10027--451,"55 West 125th St, 11th Floor",Non given
CAMBA Economic Development Corporation,Loan Fund,N,Brooklyn,NY,11226--267,1720 Church Avenue,www.camba.org
Carver Federal Savings Bank,Bank or Thrift,N,New York,NY,10035,1825 Park Avenue,http://carverbank.com
CheckSpring Community Corporation,Bank Holding Company,N,Bronx,NY,10452--820,69 E 167th Street,http://www.springbankny.com
"Community Development Trust, LP, The",Loan Fund,N,New York,NY,10018--770,1350 Broadway  Suite 700,www.cdt.biz
"Community Development Venture Capital Alliance, The",Venture Capital,N,New York,NY,10115--005,"475 Riverside Dr., Suite 1264",www.cdvca.org
Community Partnership Development Corporation,Loan Fund,N,New York,NY,10001,253 West 35th Street  3rd Floor,www.housingpartnership.com
Community Preservation Corporation,Loan Fund,N,New York,NY,10017,"220 E 42nd Street, 16th Floor",www.communityp.com
Concord Federal Credit Union,Credit Union,N,Brooklyn,NY,11216,833 Gardner C. Taylor Blvd.,https://concordfcu.org/
Corporation for Supportive Housing,Loan Fund,N,New York,NY,10006--270,"61 Broadway, 23rd Floor",www.csh.org
"Credit, Inc.",Loan Fund,N,Bronx,NY,10455--390,555 Bergen Avenue,Non given
Entertainment Industries FCU,Credit Union,N,New York,NY,10022--321,550 Madison Ave.,http://www.eifcu.org
