 Astoria, Jackson Heights, Flushing / Whitestone, Bayside / Little Neck, Bellerose / Rosedale, Hillcrest / Fresh Meadows, Elmhurst / Corona, Forest Hills / Rego Park, Sunnyside / Woodside, Middle Village / Ridgewood, Kew Gardens / Woodhaven, Jamaica, Howard Beach / S. Ozone Park, Rockaways
2500,27300,79701,108500,30600,21400,26700,64500,100,49301,200,18200,4002,91601
3100,27500,79702,109300,32000,22001,26901,68700,700,49302,400,18401,4401,91602
3300,27700,79900,109700,32800,22002,26902,69300,1900,49500,600,18402,5000,91800
3700,27900,80301,109900,35800,23000,27100,69500,16900,49700,800,18600,5400,92200
3900,28100,80302,111300,49600,23200,38301,69701,17100,50500,1000,18800,5800,92800
4300,28300,83700,112300,51200,23600,38302,69702,17900,50700,1200,19000,6201,93401
4500,28500,84500,112900,51600,44800,39900,70300,18101,51100,1400,19200,6202,93402
4700,28700,84900,113300,53200,45000,41100,70700,18102,51300,1600,19400,8600,93800
5100,28900,85300,113900,53401,45200,41300,70900,18300,51500,1800,19600,8800,94201
5300,29100,85500,118100,53601,45400,41500,71100,18501,51700,2000,19800,9400,94202
5500,30902,85700,129102,53800,45600,42700,71303,18502,52100,2200,20200,9600,94203
5700,30903,85900,129103,54000,45800,43701,71304,18700,52500,2400,20400,9800,95400
5900,30904,86100,129104,54200,46400,43702,71305,18900,53100,2600,20600,10000,96400
6100,32700,86300,136700,54800,46600,43900,71306,19900,53500,2800,20800,10200,97202
6300,32900,86500,137700,55200,47200,44301,71701,20500,53900,3000,21200,10400,97203
6501,33100,86900,138501,55400,47600,44302,71702,21900,54500,3200,23800,10600,97204
6502,33700,87100,138502,55600,47800,45500,71900,22900,54700,3400,24000,15801,99200
6900,33900,88901,139900,55800,49200,45700,72100,23500,54900,3600,24600,15802,99801
7100,34700,90700,140300,56000,77902,45900,72300,24300,55100,3800,25400,16400,99802
7300,35100,91900,140901,56200,77903,46100,72900,24500,55300,4001,25800,16600,100801
7500,35300,92500,140902,56400,77904,46300,73100,24700,55500,4200,26000,16800,100802
7700,35700,92900,141700,56600,77905,46500,73700,24900,55700,5200,26200,17000,101001
7900,36100,93900,142900,56800,77906,46700,73900,25100,55900,10800,26400,17200,101002
8100,36300,94500,143500,58000,77907,46900,74100,25301,56100,11000,26600,17400,103201
8300,36500,94700,144100,58200,77908,47100,74300,25302,56500,11200,27000,17600,103202
8500,36700,97300,144700,59000,79300,47300,74500,25500,56700,11400,27200,17800,107201
8700,37100,98100,145101,59200,80900,47500,74700,25700,57700,11600,27400,18000,107202
9100,37300,98700,145102,59400,122300,48100,74900,25900,57900,11800,27600,81400,
9500,37500,99100,145900,59600,122701,49900,75701,26100,58100,12000,27800,81800,
9700,37700,99701,146300,59800,122702,68300,75702,26300,58300,12200,28000,83800,
9900,37900,99703,146700,60000,124100,,76901,26500,58500,12400,28200,84000,
10100,38100,99704,147100,60600,124700,,76902,29300,58700,12601,28400,84601,
10300,40100,99705,147900,60800,125700,,,29500,58900,12602,28800,84602,
10500,40300,99900,148300,61000,126500,,,29700,59100,12800,29400,86400,
10701,40500,101700,150701,61200,126700,,,47900,59300,13000,33000,88400,
11100,40700,102900,150702,61400,127700,,,48300,59500,13200,33401,89200,
11300,40900,103300,152901,61601,128300,,,48500,59900,13400,33402,,
11500,,103900,152902,61602,133300,,,48900,60100,13600,35200,,
11700,,104700,,61800,133900,,,,60300,13800,36600,,
11900,,105900,,62000,134100,,,,60701,14000,36800,,
12100,,114100,,62200,134700,,,,61301,14201,37600,,
12301,,114700,,62400,,,,,61302,14202,38400,,
12500,,115100,,62600,,,,,61900,14400,39400,,
13500,,115500,,63000,,,,,62100,14800,39800,,
13700,,115700,,63200,,,,,62300,15000,40000,,
14100,,115900,,63800,,,,,62500,15200,40200,,
14300,,116100,,64600,,,,,62700,15400,40400,,
14500,,116300,,65000,,,,,62900,15600,41400,,
14700,,116700,,65400,,,,,63301,21600,42400,,
14900,,117100,,65600,,,,,63302,64101,42600,,
15100,,117500,,66000,,,,,63500,64102,43200,,
15300,,118500,,66400,,,,,63700,77300,43400,,
15500,,118700,,68000,,,,,63900,77500,44000,,
15700,,118900,,68200,,,,,65501,,44400,,
15900,,119100,,69000,,,,,65702,,44601,,
16100,,119300,,69400,,,,,65703,,44602,,
16300,,119500,,71600,,,,,65900,,46000,,
29900,,119900,,130100,,,,,66100,,46200,,
31700,,120100,,155101,,,,,66300,,46800,,
,,120300,,155102,,,,,66501,,47000,,
,,120500,,156700,,,,,66701,,48000,,
,,120700,,157101,,,,,66900,,48200,,
,,121100,,157102,,,,,67100,,48400,,
,,121500,,157901,,,,,67700,,50000,,
,,,,157902,,,,,67900,,50201,,
,,,,157903,,,,,,,50202,,
,,,,161700,,,,,,,50400,,
,,,,162100,,,,,,,50600,,
,,,,,,,,,,,50800,,
,,,,,,,,,,,51000,,
,,,,,,,,,,,51800,,
,,,,,,,,,,,52000,,
,,,,,,,,,,,52200,,
,,,,,,,,,,,52400,,
,,,,,,,,,,,52600,,
,,,,,,,,,,,52800,,
,,,,,,,,,,,53000,,
,,,,,,,,,,,78800,,
,,,,,,,,,,,79000,,
,,,,,,,,,,,79200,,
