 South Shore, Mid-Island, North Shore
12805,1800,300
12806,2002,600
13201,5000,700
13203,6400,800
13204,7000,900
13800,7400,1100
14604,9601,1700
14605,9602,2001
14606,11201,2100
14607,11202,2700
14608,11401,2900
15400,11402,3300
15601,12200,3600
15602,12804,3900
15603,13400,4000
17005,17300,4700
17007,17700,5900
17008,18100,6700
17009,18702,7500
17010,18902,7700
17011,27301,8100
17012,27302,9700
17600,27702,10500
19800,27704,12100
20801,27705,12500
20803,27706,13301
20804,27900,13302
22600,29102,14100
22800,29103,14700
24401,29104,15100
24402,,16901
24800,,18701
,,18901
,,19700
,,20100
,,20700
,,21300
,,22300
,,23100
,,23900
,,24700
,,25100
,,30301
,,30302
,,31901
,,31902
,,32300
